"TOA5","wxsta1_SF","CR1000","49018","CR1000.Std.32.03","CPU:Wx_1SF_2024-08-26.CR1","2254","Wx1_Temp_15min"
"TIMESTAMP","RECORD","batt_volt","RH","RH_airtemp","ST110_1","St110_2","St110_3","Fan_RPM","SlrW1_Avg","SlrW2_Avg"
"TS","RN","V","","","Deg C","Deg C","Deg C","","W/m^2","W/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg"
"2024-08-27 10:15:00",0,13.58,65.98,25.79,23.01,24.24,23.42,2472,699.2,701.4
"2024-08-27 10:30:00",1,13.62,61.61,26.47,23.42,24.22,23.74,2474,755.3,757.2
"2024-08-27 10:45:00",2,13.57,61.06,27.33,24.38,25.02,24.59,2468,773.9,775.1
"2024-08-27 11:00:00",3,13.57,65.19,26.26,24.79,25.19,24.92,2477,786.6,786.8
"2024-08-27 11:15:00",4,13.56,51.57,27.32,24.45,25.77,24.83,2468,826,827
"2024-08-27 11:30:00",5,13.55,61.09,24.97,22.87,24.24,23.32,2469,571.4,570.8
"2024-08-27 11:45:00",6,13.63,72.66,22.54,22.65,22.23,22.6,2487,191.7,191.4
"2024-08-27 12:00:00",7,13.64,57.26,27.7,24.5,25.25,24.73,2483,855,855
"2024-08-27 12:15:00",8,13.63,69.54,26.28,24.44,24.99,24.57,2484,618.6,615.4
"2024-08-27 12:30:00",9,13.58,63.58,26.9,23.87,25.17,24.18,2472,771.5,772.1
"2024-08-27 12:45:00",10,13.56,63.17,26.83,23.35,24.81,23.78,2468,709.4,708.9
"2024-08-27 13:00:00",11,13.64,71.88,23.73,21.97,22.71,22.17,2487,168.9,169.1
"2024-08-27 13:15:00",12,13.63,68.61,25.98,24.86,24.3,24.83,2483,648.8,649.3
"2024-08-27 13:30:00",13,13.64,67.73,25.07,24.49,24.13,24.46,2489,443.8,443.5
"2024-08-27 13:45:00",14,13.57,64.44,25.65,23.05,24.19,23.43,2469,528.5,529.8
"2024-08-27 14:00:00",15,13.61,73.31,24.11,22.39,22.78,22.57,2475,305.9,306.1
"2024-08-27 14:15:00",16,13.65,73.12,24.19,22.54,22.81,22.68,2481,389.1,389.2
"2024-08-27 14:30:00",17,13.58,68.16,24.97,22.75,23.09,22.91,2472,515.1,517.1
"2024-08-27 14:45:00",18,13.7,66.84,24.99,22.81,23.53,23.08,2487,465,466.9
"2024-08-27 15:00:00",19,13.45,73.57,23.63,22.3,22.77,22.47,2448,386.5,334.5
"2024-08-27 15:15:00",20,13.34,61.67,23.82,23.21,23.28,23.28,2429,116.1,125.4
"2024-08-27 15:30:00",21,13.26,77.12,22.51,21.89,22.04,21.97,2409,55.39,56.78
"2024-08-27 15:45:00",22,13.29,76.72,22.25,21.9,21.79,21.9,2417,73.97,74.9
"2024-08-27 16:00:00",23,13.22,77.78,22.39,21.99,22.09,22.06,2405,56.18,56.38
"2024-08-27 16:15:00",24,13.15,76.85,22.87,21.75,21.95,21.87,2391,43.94,44.07
"2024-08-27 16:30:00",25,13.06,76.07,22.04,22.12,21.77,22.03,2373,37.4,37.13
"2024-08-27 16:45:00",26,12.96,81.5,21.52,21.01,21.12,21.09,2355,27.93,28.89
"2024-08-27 17:00:00",27,12.89,81.6,21.27,20.71,20.82,20.79,2339,31.73,31.63
"2024-08-27 17:15:00",28,12.81,82.1,21,20.49,20.57,20.57,2325,32.35,32.39
"2024-08-27 17:30:00",29,12.72,84.2,20.78,20.24,20.34,20.32,2307,20.8,20.82
"2024-08-27 17:45:00",30,12.64,85.3,20.3,19.86,19.94,19.94,2291,14.38,14.41
"2024-08-27 18:00:00",31,12.61,87.2,19.94,19.43,19.54,19.51,2286,9.42,9.46
"2024-08-27 18:15:00",32,12.61,86.8,19.62,19.22,19.22,19.27,2289,6.66,6.675
"2024-08-27 18:30:00",33,12.61,88.9,19.52,19.14,19.12,19.19,2286,3.159,3.163
"2024-08-27 18:45:00",34,12.61,85.6,19.46,19.1,19.07,19.15,2285,0.725,0.728
"2024-08-27 19:00:00",35,12.61,85.6,19.35,18.88,18.94,18.94,2286,0.015,0.053
"2024-08-27 19:15:00",36,12.6,84.8,19.21,18.69,18.75,18.75,2285,0,0
"2024-08-27 19:30:00",37,12.6,86.1,18.83,18.39,18.44,18.47,2285,0,0
"2024-08-27 19:45:00",38,12.6,86.1,18.58,18.18,18.21,18.26,2286,0,0
"2024-08-27 20:00:00",39,12.6,86.2,18.59,18.3,18.2,18.32,2286,0,0
"2024-08-27 20:15:00",40,12.6,89,18.53,18.19,18.13,18.2,2285,0,0
"2024-08-27 20:30:00",41,12.59,89.8,18.53,18.19,18.11,18.19,2283,0,0
"2024-08-27 20:45:00",42,12.59,90.1,18.45,18.03,18,18.1,2282,0,0
"2024-08-27 21:00:00",43,12.59,90.6,18.5,18.14,18.07,18.19,2283,0,0
"2024-08-27 21:15:00",44,12.58,91.9,18.75,18.43,18.35,18.46,2283,0,0
"2024-08-27 21:30:00",45,12.58,92.2,18.37,18.12,17.97,18.08,2282,0,0
"2024-08-27 21:45:00",46,12.58,93.4,18.14,17.68,17.73,17.68,2279,0,0
"2024-08-27 22:00:00",47,12.57,93.6,18.01,17.48,17.55,17.56,2280,0,0
"2024-08-27 22:15:00",48,12.57,93,17.98,17.47,17.47,17.51,2280,0,0
"2024-08-27 22:30:00",49,12.57,92.7,17.79,17.39,17.33,17.42,2280,0,0
"2024-08-27 22:45:00",50,12.55,91.1,17.52,17.1,17.04,17.15,2279,0,0
"2024-08-27 23:00:00",51,12.56,91.1,17.59,17.08,17.1,17.15,2279,0,0
"2024-08-27 23:15:00",52,12.55,91.5,17.27,16.83,16.82,16.88,2280,0,0
"2024-08-27 23:30:00",53,12.54,91.7,17.01,16.46,16.53,16.56,2274,0,0
"2024-08-27 23:45:00",54,12.54,90.9,16.95,16.54,16.53,16.58,2274,0,0
"2024-08-28 00:00:00",55,12.54,93.2,17.02,16.65,16.54,16.68,2276,0,0
"2024-08-28 00:15:00",56,12.54,94.4,17.13,16.84,16.69,16.88,2273,0,0
"2024-08-28 00:30:00",57,12.53,94.2,17.38,16.99,16.94,17.05,2271,0,0
"2024-08-28 00:45:00",58,12.53,94,17.43,16.97,16.97,17.03,2273,0,0
"2024-08-28 01:00:00",59,12.52,95.2,17.29,16.94,16.87,16.99,2270,0,0
"2024-08-28 01:15:00",60,12.52,94.2,17.7,17.35,17.25,17.4,2268,0,0
"2024-08-28 01:30:00",61,12.52,95.4,17.25,16.74,16.82,16.82,2271,0,0
"2024-08-28 01:45:00",62,12.5,95.8,17.4,17.1,16.96,17.1,2268,0,0
"2024-08-28 02:00:00",63,12.5,94.4,17.61,17.21,17.17,17.28,2268,0,0
"2024-08-28 02:15:00",64,12.5,94.1,17.67,17.27,17.27,17.33,2267,0,0
"2024-08-28 02:30:00",65,12.5,93.2,17.71,17.35,17.3,17.4,2265,0,0
"2024-08-28 02:45:00",66,12.5,93.5,17.82,17.37,17.38,17.42,2267,0,0
"2024-08-28 03:00:00",67,12.5,93.7,17.71,17.32,17.32,17.37,2265,0,0
"2024-08-28 03:15:00",68,12.49,93.7,17.67,17.24,17.27,17.29,2265,0,0
"2024-08-28 03:30:00",69,12.49,93.2,17.77,17.43,17.37,17.47,2265,0,0
"2024-08-28 03:45:00",70,12.49,93.7,17.7,17.27,17.27,17.29,2267,0,0
"2024-08-28 04:00:00",71,12.49,94.5,17.63,17.28,17.24,17.3,2264,0,0
"2024-08-28 04:15:00",72,12.47,94.5,17.65,17.29,17.24,17.34,2264,0,0
"2024-08-28 04:30:00",73,12.49,92.5,18.22,18.03,17.75,18.04,2262,0,0
"2024-08-28 04:45:00",74,12.48,90.6,18.89,18.48,18.4,18.53,2264,0,0
"2024-08-28 05:00:00",75,12.48,92.5,18.71,18.25,18.32,18.31,2264,0.34,0.374
"2024-08-28 05:15:00",76,12.48,94.6,18.42,17.98,18.03,18.03,2262,1.831,1.831
"2024-08-28 05:30:00",77,12.48,94.9,18.47,18.2,18.08,18.21,2262,5.186,5.243
"2024-08-28 05:45:00",78,12.49,91.8,19.31,18.83,18.84,18.93,2264,11.01,11.02
"2024-08-28 06:00:00",79,12.49,90.4,19.68,19.07,19.29,19.21,2264,11.7,11.74
"2024-08-28 06:15:00",80,12.5,93.9,19.11,18.67,18.71,18.74,2267,16.71,16.85
"2024-08-28 06:30:00",81,12.53,95.2,19.02,18.59,18.63,18.66,2274,31.85,32.1
"2024-08-28 06:45:00",82,12.54,95,19.28,18.84,18.81,18.92,2274,32.8,32.97
"2024-08-28 07:00:00",83,12.57,93.2,20.04,19.64,19.57,19.72,2280,45.57,45.71
"2024-08-28 07:15:00",84,12.6,87.9,21.19,20.74,20.66,20.8,2285,57.61,65.52
"2024-08-28 07:30:00",85,12.7,88.2,21.28,20.71,20.82,20.8,2304,77.22,80.5
"2024-08-28 07:45:00",86,12.79,85.1,21.98,21.14,21.36,21.25,2324,109.1,110.3
"2024-08-28 08:00:00",87,12.84,84.9,21.85,21.31,21.45,21.42,2331,81.2,81.5
"2024-08-28 08:15:00",88,13.09,81.5,22.3,22.04,21.71,22.04,2373,134.1,134.9
"2024-08-28 08:30:00",89,13.05,85.2,22.37,21.05,21.55,21.21,2373,126.3,127.1
"2024-08-28 08:45:00",90,14.37,82.9,22.17,21.77,21.62,21.82,2609,170.1,171.1
"2024-08-28 09:00:00",91,13.38,80.8,23.12,21.51,21.97,21.68,2432,314,315.3
"2024-08-28 09:15:00",92,13.18,84.9,22.61,21.08,21.62,21.34,2396,165.8,166.3
"2024-08-28 09:30:00",93,13.88,84.3,22.7,21.23,21.55,21.39,2535,236.9,237.8
"2024-08-28 09:45:00",94,14.33,85.2,23.15,21.63,21.96,21.74,2612,380.7,381.8
"2024-08-28 10:00:00",95,14.25,83.5,24.04,21.68,22.48,21.93,2604,406.9,408.6
"2024-08-28 10:15:00",96,14.35,78.07,23.11,21.16,21.83,21.35,2615,427.9,429.7
"2024-08-28 10:30:00",97,13.34,77.72,22.66,20.89,21.42,21.07,2430,288.8,290
"2024-08-28 10:45:00",98,14.23,82.1,22.87,21.22,21.58,21.33,2604,364.9,366.8
"2024-08-28 11:00:00",99,14.28,82.2,22.05,20.05,20.99,20.28,2600,450.1,451.8
"2024-08-28 11:15:00",100,14.3,85.8,21.61,19.87,20.4,20.02,2604,632.2,634.6
"2024-08-28 11:30:00",101,14.32,83.3,20.73,18.54,19.52,18.78,2612,528.7,529.1
"2024-08-28 11:45:00",102,14.31,86.2,20.26,19.37,19.37,19.41,2615,437,438.1
"2024-08-28 12:00:00",103,14.28,87,20.22,18.59,19.08,18.74,2616,515.3,515.9
"2024-08-28 12:15:00",104,13.66,86.2,19.39,18.22,18.57,18.33,2493,555.6,556.5
"2024-08-28 12:30:00",105,13.65,84.6,20.29,18.52,18.88,18.66,2498,466.1,466.1
"2024-08-28 12:45:00",106,13.65,82.9,19.92,18.74,18.76,18.8,2496,563.5,562.8
"2024-08-28 13:00:00",107,13.69,79.45,20.82,17.95,18.75,18.16,2490,439.7,439.3
"2024-08-28 13:15:00",108,13.67,83.1,19.84,18.42,18.53,18.47,2493,334.5,335.1
"2024-08-28 13:30:00",109,13.66,81,20.29,18.19,18.57,18.33,2493,335.5,335.5
"2024-08-28 13:45:00",110,13.68,72.58,21.37,18.02,18.83,18.21,2492,604,605.7
"2024-08-28 14:00:00",111,13.72,73.79,22.07,18.99,19.41,19.15,2507,708.9,709.5
"2024-08-28 14:15:00",112,13.74,65.23,22.44,18.93,19.47,19.15,2490,679.6,681
"2024-08-28 14:30:00",113,13.6,75.36,19.9,18.18,18.37,18.32,2492,621.3,622.8
"2024-08-28 14:45:00",114,13.68,74.5,19.52,17.7,18.23,17.89,2496,540.9,542.6
"2024-08-28 15:00:00",115,13.41,79.1,18.63,17.42,17.87,17.63,2444,439.6,379.3
"2024-08-28 15:15:00",116,13.31,77.22,18.29,17.8,17.87,17.85,2423,74.35,105.8
"2024-08-28 15:30:00",117,13.25,72.82,18.28,17.75,17.88,17.83,2414,54.98,57.5
"2024-08-28 15:45:00",118,13.2,74.33,18.21,18.08,17.82,18.13,2400,47.65,47.28
"2024-08-28 16:00:00",119,13.14,73.06,17.89,17.77,17.59,17.81,2390,43.95,43.81
"2024-08-28 16:15:00",120,13.44,77.72,17.97,17.29,17.37,17.39,2448,110.4,110.2
"2024-08-28 16:30:00",121,13.45,77.52,17.95,17.25,17.35,17.35,2451,114.5,114.5
"2024-08-28 16:45:00",122,13.45,79.03,17.79,17.3,17.27,17.32,2450,95.3,95.5
"2024-08-28 17:00:00",123,13.33,73.32,17.91,17.66,17.35,17.58,2427,89.8,89.8
"2024-08-28 17:15:00",124,13.15,77.11,17.35,17.35,17,17.37,2391,36.85,36.67
"2024-08-28 17:30:00",125,13.04,81.3,16.88,16.49,16.52,16.53,2373,35.96,35.89
"2024-08-28 17:45:00",126,12.93,80.9,16.76,16.22,16.29,16.28,2351,32.27,32.23
"2024-08-28 18:00:00",127,12.79,82.8,16.45,16.06,16.05,16.1,2325,16.81,16.74
"2024-08-28 18:15:00",128,12.66,84.7,15.76,15.3,15.4,15.4,2301,8.6,8.57
"2024-08-28 18:30:00",129,12.62,84.4,15.43,15.36,15.14,15.41,2291,4.175,4.16
"2024-08-28 18:45:00",130,12.61,88.4,15.01,14.65,14.75,14.73,2291,1.378,1.401
"2024-08-28 19:00:00",131,12.61,80.7,15.22,15.13,14.96,15.16,2289,0.083,0.094
"2024-08-28 19:15:00",132,12.61,81,15.22,15.1,14.9,15.15,2294,0,0
"2024-08-28 19:30:00",133,12.61,79.64,15.14,14.87,14.82,14.94,2289,0,0
"2024-08-28 19:45:00",134,12.6,82.2,15.07,14.84,14.76,14.9,2291,0,0
"2024-08-28 20:00:00",135,12.59,82.9,14.79,14.6,14.51,14.63,2288,0,0
"2024-08-28 20:15:00",136,12.59,81.7,14.61,14.28,14.27,14.35,2286,0,0
