"TOA5","wxsta23","CR1000","39828","CR1000.Std.32.05","CPU:WX_23 2024-08-26.CR1","37931","Wx_23_Temp_15_min"
"TIMESTAMP","RECORD","Batt_volt","RH","RH_airtemp","ST110_1","St110_2","St110_3","fan_rpm"
"TS","RN","","","","Deg C","Deg C","Deg C","fanspeed"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-27 12:15:00",0,12.1,76.6,25.53,24.51,24.57,24.42,2039
"2024-08-27 12:30:00",1,12.09,58.98,26.32,24.41,24.41,23.96,1991
"2024-08-27 12:45:00",2,12.09,60.08,25.82,24.52,24.52,24.08,1989
"2024-08-27 13:00:00",3,12.09,56.11,25.47,23.45,23.41,22.97,1988
"2024-08-27 13:15:00",4,12.09,69.39,25.99,24.42,24.42,23.66,1989
"2024-08-27 13:30:00",5,12.09,61.22,26.16,22.93,22.84,18.1,1989
"2024-08-27 13:45:00",6,12.09,65.84,26.52,23.59,23.56,22.34,1985
"2024-08-27 14:00:00",7,12.09,59.04,25.68,21.96,21.82,17.58,1981
"2024-08-27 14:15:00",8,12.09,66.99,23.59,22.41,22.55,18.66,1977
"2024-08-27 14:30:00",9,12.09,70.93,22.1,21.15,21.15,14.88,1977
"2024-08-27 14:45:00",10,12.1,77.59,21.19,20.91,20.96,20.69,1974
"2024-08-27 15:00:00",11,12.09,79.56,20.8,19.7,19.69,18.56,1973
"2024-08-27 15:15:00",12,12.1,84.1,20.08,20.19,20.21,20.03,1972
"2024-08-27 15:30:00",13,12.1,84,20.18,19.61,19.65,18.5,1974
"2024-08-27 15:45:00",14,12.1,85.8,19.8,19.22,19.22,18.61,1972
"2024-08-27 16:00:00",15,12.11,79.01,19.82,20.02,20.15,18.63,1973
"2024-08-27 16:15:00",16,12.1,83.4,20.13,20.08,20.13,19.76,1972
"2024-08-27 16:30:00",17,12.11,87.9,19.2,19.37,19.47,19.43,1972
"2024-08-27 16:45:00",18,12.11,89.5,18.95,18.7,18.71,18.59,1970
"2024-08-27 17:00:00",19,12.11,90.5,18.7,18.7,18.71,-48.87,1970
"2024-08-27 17:15:00",20,12.1,91.2,18.59,18.54,18.57,-47.93,1971
"2024-08-27 17:30:00",21,12.11,91.7,18.44,18.12,18.23,-45.83,1970
"2024-08-27 17:45:00",22,12.11,94.9,17.96,17.67,17.71,-46.14,1975
"2024-08-27 18:00:00",23,12.11,95.6,17.63,17.41,17.45,-46.54,1976
"2024-08-27 18:15:00",24,12.1,96.3,17.42,17.3,17.33,-46.9,1977
"2024-08-27 18:30:00",25,12.11,96.4,17.08,16.92,16.96,-47.31,1976
"2024-08-27 18:45:00",26,12.11,96.4,16.75,16.55,16.64,-47.74,1975
"2024-08-27 19:00:00",27,12.11,96,16.46,16.41,16.45,-48.17,1975
"2024-08-27 19:15:00",28,12.11,95.6,16.2,16.18,16.2,-48.57,1975
"2024-08-27 19:30:00",29,12.11,95.9,15.99,15.86,15.88,-48.27,1976
"2024-08-27 19:45:00",30,12.11,96.4,15.85,15.84,15.85,-49.02,1975
"2024-08-27 20:00:00",31,12.11,97,15.9,15.9,15.96,-49.23,1976
"2024-08-27 20:15:00",32,12.11,96.9,16.2,16.26,16.3,-49.49,1977
"2024-08-27 20:30:00",33,12.11,95.7,16.79,16.59,16.61,-49.49,1979
"2024-08-27 20:45:00",34,12.11,97.4,16.57,16.39,16.4,-49.6,1977
"2024-08-27 21:00:00",35,12.11,97.5,16.61,16.42,16.47,-49.7,1976
"2024-08-27 21:15:00",36,12.11,98.5,16.43,16.49,16.56,-49.87,1975
"2024-08-27 21:30:00",37,12.11,98.5,16.48,16.57,16.69,-49.87,1976
"2024-08-27 21:45:00",38,12.11,99,16.34,16.15,16.18,-49.97,1976
"2024-08-27 22:00:00",39,12.11,99,16.15,15.94,16.05,-50.08,1975
"2024-08-27 22:15:00",40,12.11,99,15.93,15.73,15.78,-50.19,1976
